"Plot Title: 10904790"
"#","Date Time, GMT+00:00","Full Range, μS/cm (LGR S/N: 10904790, SEN S/N: 10904790)","Temp, °C (LGR S/N: 10904790, SEN S/N: 10904790)","Coupler Detached (LGR S/N: 10904790)","End Of File (LGR S/N: 10904790)"
1,05/10/22 07:00:00 PM,1.0,34.41,,
2,05/10/22 07:00:01 PM,1.0,34.38,,
3,05/10/22 07:00:02 PM,1.0,34.38,,
4,05/10/22 07:00:03 PM,1.0,34.38,,
5,05/10/22 07:00:04 PM,7.2,34.37,,
6,05/10/22 07:00:05 PM,1.0,34.35,Logged,
7,05/10/22 07:00:06 PM,1.0,34.41,,
8,05/10/22 07:00:07 PM,1.0,34.44,,
9,05/10/22 07:00:08 PM,1.0,34.48,,
10,05/10/22 07:00:09 PM,1.0,34.57,,
11,05/10/22 07:00:10 PM,1.0,34.66,,
12,05/10/22 07:00:11 PM,1.0,34.73,,
13,05/10/22 07:00:12 PM,1.0,34.78,,
14,05/10/22 07:00:13 PM,1.0,34.77,,
15,05/10/22 07:00:14 PM,7.2,34.78,,
16,05/10/22 07:00:15 PM,-0.4,34.78,,
17,05/10/22 07:00:16 PM,1.0,34.85,,
18,05/10/22 07:00:17 PM,1.0,34.92,,
19,05/10/22 07:00:18 PM,1.0,35.07,,
20,05/10/22 07:00:19 PM,1.0,35.15,,
21,05/10/22 07:00:20 PM,1.0,35.16,,
22,05/10/22 07:00:21 PM,1.0,35.12,,
23,05/10/22 07:00:22 PM,1.0,35.15,,
24,05/10/22 07:00:23 PM,1.0,35.16,,
25,05/10/22 07:00:24 PM,1.0,35.18,,
26,05/10/22 07:00:25 PM,1.0,35.29,,
27,05/10/22 07:00:26 PM,1.0,35.26,,
28,05/10/22 07:00:27 PM,1.0,35.24,,
29,05/10/22 07:00:28 PM,1.0,35.29,,
30,05/10/22 07:00:29 PM,1.0,35.26,,
31,05/10/22 07:00:30 PM,1.0,35.35,,
32,05/10/22 07:00:31 PM,1.0,35.44,,
33,05/10/22 07:00:32 PM,1.0,35.41,,
34,05/10/22 07:00:33 PM,1.0,35.45,,
35,05/10/22 07:00:34 PM,1.0,35.48,,
36,05/10/22 07:00:35 PM,1.0,35.54,,
37,05/10/22 07:00:36 PM,1.0,35.54,,
38,05/10/22 07:00:37 PM,1.0,35.57,,
39,05/10/22 07:00:38 PM,1.0,35.55,,
40,05/10/22 07:00:39 PM,1.0,35.55,,
41,05/10/22 07:00:40 PM,7.2,35.53,,
42,05/10/22 07:00:41 PM,1.0,35.53,,
43,05/10/22 07:00:42 PM,1.0,35.52,,
44,05/10/22 07:00:43 PM,1.0,35.57,,
45,05/10/22 07:00:44 PM,1.0,35.71,,
46,05/10/22 07:00:45 PM,1.0,35.74,,
47,05/10/22 07:00:46 PM,1.0,35.76,,
48,05/10/22 07:00:47 PM,7.2,35.83,,
49,05/10/22 07:00:48 PM,7.2,35.86,,
50,05/10/22 07:00:49 PM,1.0,35.91,,
51,05/10/22 07:00:50 PM,1.0,35.87,,
52,05/10/22 07:00:51 PM,1.0,35.87,,
53,05/10/22 07:00:52 PM,1.0,35.91,,
54,05/10/22 07:00:53 PM,7.2,35.98,,
55,05/10/22 07:00:54 PM,1.0,36.02,,
56,05/10/22 07:00:55 PM,1.0,36.03,,
57,05/10/22 07:00:56 PM,1.0,36.08,,
58,05/10/22 07:00:57 PM,1.0,36.10,,
59,05/10/22 07:00:58 PM,1.0,36.10,,
60,05/10/22 07:00:59 PM,1.0,36.07,,
61,05/10/22 07:01:00 PM,1.0,36.00,,
62,05/10/22 07:01:01 PM,1.0,36.00,,
63,05/10/22 07:01:02 PM,1.0,35.94,,
64,05/10/22 07:01:03 PM,1.0,36.00,,
65,05/10/22 07:01:04 PM,7.2,35.93,,
66,05/10/22 07:01:05 PM,1.0,35.96,,
67,05/10/22 07:01:06 PM,1.0,35.98,,
68,05/10/22 07:01:07 PM,1.0,36.06,,
69,05/10/22 07:01:08 PM,1.0,36.06,,
70,05/10/22 07:01:09 PM,1.0,36.07,,
71,05/10/22 07:01:10 PM,1.0,36.10,,
72,05/10/22 07:01:11 PM,1.0,36.10,,
73,05/10/22 07:01:12 PM,1.0,36.12,,
74,05/10/22 07:01:13 PM,1.0,36.12,,
75,05/10/22 07:01:14 PM,1.0,36.10,,
76,05/10/22 07:01:15 PM,1.0,36.12,,
77,05/10/22 07:01:16 PM,1.0,36.15,,
78,05/10/22 07:01:17 PM,1.0,36.13,,
79,05/10/22 07:01:18 PM,1.0,36.26,,
80,05/10/22 07:01:19 PM,7.2,36.25,,
81,05/10/22 07:01:20 PM,1.0,36.25,,
82,05/10/22 07:01:21 PM,1.0,36.26,,
83,05/10/22 07:01:22 PM,1.0,36.27,,
84,05/10/22 07:01:23 PM,1.0,36.34,,
85,05/10/22 07:01:24 PM,1.0,36.39,,
86,05/10/22 07:01:25 PM,1.0,36.49,,
87,05/10/22 07:01:26 PM,7.2,36.41,,
88,05/10/22 07:01:27 PM,1.0,36.35,,
89,05/10/22 07:01:28 PM,1.0,36.29,,
90,05/10/22 07:01:29 PM,7.2,36.24,,
91,05/10/22 07:01:30 PM,1.0,36.18,,
92,05/10/22 07:01:31 PM,1.0,36.15,,
93,05/10/22 07:01:32 PM,1.0,36.12,,
94,05/10/22 07:01:33 PM,1.0,36.07,,
95,05/10/22 07:01:34 PM,1.0,36.05,,
96,05/10/22 07:01:35 PM,1.0,36.02,,
97,05/10/22 07:01:36 PM,1.0,36.00,,
98,05/10/22 07:01:37 PM,1.0,35.97,,
99,05/10/22 07:01:38 PM,1.0,35.94,,
100,05/10/22 07:01:39 PM,1.0,35.91,,
101,05/10/22 07:01:40 PM,1.0,35.88,,
102,05/10/22 07:01:41 PM,1.0,35.87,,
103,05/10/22 07:01:42 PM,1.0,35.86,,
104,05/10/22 07:01:43 PM,1.0,35.84,,
105,05/10/22 07:01:44 PM,1.0,35.82,,
106,05/10/22 07:01:45 PM,1.0,35.81,,
107,05/10/22 07:01:46 PM,1.0,35.79,,
108,05/10/22 07:01:47 PM,1.0,35.78,,
109,05/10/22 07:01:48 PM,1.0,35.77,,
110,05/10/22 07:01:49 PM,1.0,35.76,,
111,05/10/22 07:01:50 PM,1.0,35.74,,
112,05/10/22 07:01:51 PM,1.0,35.73,,
113,05/10/22 07:01:52 PM,1.0,35.72,,
114,05/10/22 07:01:53 PM,1.0,35.71,,
115,05/10/22 07:01:54 PM,1.0,35.69,,
116,05/10/22 07:01:55 PM,1.0,35.68,,
117,05/10/22 07:01:56 PM,7.2,35.65,,
118,05/10/22 07:01:57 PM,1.0,35.64,,
119,05/10/22 07:01:58 PM,1.0,35.64,,
120,05/10/22 07:01:59 PM,1.0,35.64,,
121,05/10/22 07:02:00 PM,1.0,35.63,,
122,05/10/22 07:02:01 PM,1.0,35.62,,
123,05/10/22 07:02:02 PM,1.0,35.62,,
124,05/10/22 07:02:03 PM,1.0,35.60,,
125,05/10/22 07:02:04 PM,7.2,35.60,,
126,05/10/22 07:02:05 PM,1.0,35.59,,
127,05/10/22 07:02:06 PM,1.0,35.59,,
128,05/10/22 07:02:07 PM,1.0,35.58,,
129,05/10/22 07:02:08 PM,1.0,35.58,,
130,05/10/22 07:02:09 PM,1.0,35.58,,
131,05/10/22 07:02:10 PM,1.0,35.57,,
132,05/10/22 07:02:11 PM,1.0,35.57,,
133,05/10/22 07:02:12 PM,7.2,35.55,,
134,05/10/22 07:02:13 PM,1.0,35.54,,
135,05/10/22 07:02:14 PM,1.0,35.54,,
136,05/10/22 07:02:15 PM,1.0,35.54,,
137,05/10/22 07:02:16 PM,1.0,35.53,,
138,05/10/22 07:02:17 PM,1.0,35.53,,
139,05/10/22 07:02:18 PM,1.0,35.52,,
140,05/10/22 07:02:19 PM,1.0,35.52,,
141,05/10/22 07:02:20 PM,1.0,35.52,,
142,05/10/22 07:02:21 PM,1.0,35.50,,
143,05/10/22 07:02:22 PM,1.0,35.50,,
144,05/10/22 07:02:23 PM,1.0,35.49,,
145,05/10/22 07:02:24 PM,4.3,35.50,,
146,05/10/22 07:02:25 PM,7.2,35.49,,
147,05/10/22 07:02:26 PM,1.0,35.49,,
148,05/10/22 07:02:27 PM,7.2,35.49,,
149,05/10/22 07:02:28 PM,1.0,35.48,,
150,05/10/22 07:02:29 PM,1.0,35.48,,
151,05/10/22 07:02:30 PM,1.0,35.47,,
152,05/10/22 07:02:31 PM,1.0,35.47,,
153,05/10/22 07:02:32 PM,1.0,35.48,,
